Make,Model,Variant,Sub_variant,start_month,start_year,end_month,end_year
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L ASTA (O) (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L ERA (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L MAGNA EXECUTIVE (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L SPORTZ (O) (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L SPORTZ (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.4L ASTA (DIESEL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.4L ASTA (O) (DIESEL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.4L ASTA DUAL TONE (DIESEL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.4L MAGNA PLUS (DIESEL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.4L SPORTZ PLUS (DIESEL) (01.08.2018-01-07-2020),8,2018,7,2020
HYUNDAI,KONA ELECTRIC,HYUNDAI KONA ELECTRIC (06.2019-NOW),4DR PREMIUM (ELECTRIC) (06.2019-NOW),6,2019,NOW,NOW
HYUNDAI,SANTA FE,HYUNDAI SANTA FE 2ND GEN (2009-2013),5DR 2.2L (DIESEL) (01.09.2009-07.08.2012),9,2009,8,2012
HYUNDAI,SANTA FE,HYUNDAI SANTA FE 2ND GEN (2009-2013),5DR 2.2L (DIESEL) (15.06.2011-26.09.2013),6,2011,9,2013
HYUNDAI,SANTA FE,HYUNDAI SANTA FE 2ND GEN (2009-2013),5DR 2.4L (PETROL) (01.09.2009-07.08.2012),9,2009,8,2012
HYUNDAI,SANTA FE,HYUNDAI SANTA FE 3RD GEN (2013-2017),5DR 2.2L (DIESEL) (15.12.2013-18.09.2017),12,2013,9,2017
HYUNDAI,SANTA FE,HYUNDAI SANTA FE 3RD GEN (2013-2017),5DR 2.2L AT 2WD (DIESEL) (15.01.2013-26.02.2017),1,2013,2,2017
